門市名稱,電話,經緯度座標,地址,營業時間,開始時間,結束時間
林口扶輪公園門市,02-2608-1613,"25.0749998,121.3670896",新北市林口區文化三路一段460、462號,週一至週日07:00-22:00,07:00,22:00
板橋莊敬門市,02-2254-5613,"25.0270361,121.4710796",新北市板橋區莊敬路41號,週一至週日07:00-21:00,07:00,21:00
淡水沙崙直營門市,02-2805-2613,"25.1829627,121.4209337",新北市淡水區沙崙路137號1、2樓,週一至週日07:00-21:00,07:00,21:00
三重忠孝門市,02-2988-7272,"25.069957,121.4817033",新北市三重區忠孝路二段99-1號,週一至週日07:00-22:00,07:00,22:00
土城日月光門市,02-2273-1613,"24.9783373,121.4425015",新北市土城區中央路二段61巷37號,週日至週四07:00-21:30<br>              週五、週六07:00-22:00,07:00,21:30
汐止夢想社區門市,02-2692-2613,"25.0698346,121.6307613",新北市汐止區民族二街100號1樓,週一至週日07:00-22:00,07:00,22:00
淡水滬尾門市,02-2626-5613,"25.1770065,121.4270416",新北市淡水區中正路一段2號2樓(L102櫃),週日至週四09:00-21:00<br>               週五、週六09:00-21:30,09:00,21:00
新板傑仕堡門市,02-2257-0613,"25.017665,121.4676754",新北市板橋區縣民大道二段277號1樓,週一至週日07:00-21:00,07:00,21:00
永和捷運門市,02-2929-2613,"25.0077453,121.5011967",新北市永和區仁愛路313號1樓,週一至週日07:00-21:00,07:00,21:00
淡水捷運門市,02-2628-3613,"25.1748928485201,121.43272836871101",新北市淡水區中正路1號,週一至週五6:30-21:00<br>        週六、週日7:00-21:00,6:30,21:00
三重中華門市,02-29711613,"25.06198159592103,121.4835749106465",新北市三重區中華路41號1樓、2樓,週一至週日07:00-21:00,07:00,21:00
新店京站門市,02-8913-6018,"24.9725943291266,121.53073355482358",新北市新店區中央路157號1樓,週一至週日07:00-22:30,07:00,22:30
林口文三門市,02-2600-5669,"25.08352098394921,121.37653890422128",新北市林口區文化三路二段217-1號,7:00-20:00,7:00,20:00
新莊中悅門市,02-8522-9919,"25.0544769259583,121.44488673924013",新北市新莊區中原路558號1樓,週一至週日07:00-22:00,07:00,22:00
三重集智門市,02-2857-8613,"25.087380950546667,121.48607707532285",新北市三重區集智街56號,週一至週日07:00-21:00,07:00,21:00
土城青雲門市,02-8273-1393,"24.9805289,121.4589371",新北市土城區青雲路240號,07:00-21:00,07:00,21:00
國道石碇門市,02-2663-3613,"25.008964,121.645312",新北市石碇區文山路一段6號(石碇服務區),週一至週五07:00-20:00週六至週日07:00-21:00,07:00,20:00
新莊中正旗艦門市,02-2208-1613,"25.035277,121.448807",新北市新莊區中正路285號,週一至週日07:00-22:00,07:00,22:00
北大學勤門市,02-8970-1613,"24.947932,121.379157",新北市樹林區學勤路259號,週一至週日07:00-21:00,07:00,21:00
中和連城門市,02-2221-5700,"24.995761,121.4812244",新北市中和區連城路469-1號,週一至週日07:00-21:00,07:00,21:00
亞東誠品門市,02-8966-7676,"24.9972647,121.4505775",新北市板橋區南雅南路二段21號B1,週一至週日07:00-20:00,07:00,20:00
華城社區門市,02-22193613,"24.9905336,121.5341805",新北市新店區中正路696號1樓,週一至週日07:00-20:00,07:00,20:00
台北醫院門市,02-29901399,"25.0429446,121.4594267",新北市新莊區思源路127號,週日公休週一～週五7:00～18:00週六7:00～14:00,,
新店耕莘門市,02-22193668,"24.9762542,121.5352058",新北市新店區中正路368號1-2F,週一至週日7:00~21:30,,
金城延和門市,02-2270-1395,"24.9891208,121.4700235",新北市土城區金城路三段195號,週一至週日07:00-21:00	,07:00,21:00
板橋中正門市,02-2965-8613,"25.0180351,121.4558724",新北市板橋區中正路237號,一~日07:00~21:00	,,
蘆洲民族門市,02-28487220,"25.0910024,121.4759104",新北市蘆洲區民族路366號,週一至週日07:00~20:00,,
幸福微微門市,02-22795613,"25.0492229,121.4467116",新北市新莊區幸福路788號1F、2F,週一至週日07:00-20:00,07:00,20:00
板橋府中門市,02-29527899,"25.0076155,121.4612566",新北市板橋區重慶路32號,週一至週日7:00-21:00,7:00,21:00
板橋三民門市,02-29552968,"25.0151747,121.4793835",新北市板橋區三民路二段141號,週一至週日7:00-21:00,7:00,21:00
七張捷運門市,02-8911-6088,"24.9756359,121.5431648",新北市新店區北新路二段166號,週一至週日07:00-21:30,07:00,21:30
蘆洲湧蓮門市,02-82812613,"25.0836279,121.4703301",新北市蘆洲區中正路78號,週一至週日07:00-21:00,07:00,21:00
明志科大門市,02-2906-9613,"25.0388055,121.4243283",新北市泰山區明志路三段193號,週一至週日07:00-21:00,07:00,21:00
蘆洲佳瑪門市,02-2289-6613,"25.0812555,121.464494",新北市蘆洲區九芎街90巷27號1樓,週一至週日07:00-21:00,07:00,21:00
中和安平門市,02-2252-5555,"24.993261,121.5092318",新北市中和區景平路402之2號,週一至週日07:00-19:00,07:00,19:00
汐科車站門市,02-2691-9613,"25.0641994,121.6525664",新北市汐止區大同路二段182號(汐科車站北站),週一至週日07:00-17:00,07:00,17:00
中和大潤發門市,02-2245-5508,"25.0029495,121.4987411",新北市中和區中山路二段228號,,,
聯合報大樓門市,02-8692-1613,"25.0613016,121.6408506",新北市汐止區大同路一段369號,週一至週五08:00-17:00,08:00,17:00
汐止東科門市,02-8696-1234,"25.060472,121.6483301",新北市汐止區新台五路一段96號C1,週一至週五07:00-18:00,07:00,18:00
新莊嘉軒,02-8521-5613,"25.0600927,121.4539951",新北市新莊區新北大道三段79號,週一至週日08:00-16:00,08:00,16:00
新店矽谷門市,02-29160613,"24.9857782,121.539944",新北市新店區北新路三段213號1樓,週一至週五07:00-20:00週六至週日8:00-17:00,07:00,20:00
新莊宏匯門市(即將開幕),02-85218855,"25.0582656,121.4593799",新北市新莊區思源路553號,週一至週五8:00-17:00,8:00,17:00
澎湖馬公門市,06-9260-258,"23.5656317186919,119.56479153964365",澎湖縣馬公市仁愛路77號,週一至週日8:00-22:00,8:00,22:00
屏東門市,08-732-5020,"22.6740429,120.488418",屏東縣屏東市中華路80號1樓,週一至週日07:00-22:00,07:00,22:00
屏東環球門市,08-732-0905,"22.6732668,120.4912132",屏東縣屏東市仁愛路90號(屏東環球購物中心),週一至週日07:00-22:00,07:00,22:00
中港門市(澄清醫院旁),04-2463-8248,"24.183629671858,120.6169626409837",台中市西屯區福康路26號,週一至週五06:30-16:00<br>周六及國定假日6:30-13:00<br>週日公休,06:30,16:00
福星公園門市,04-2452-9143,"24.17200023918824,120.64825873403171",台中市西屯區河南路2段301巷72號,週一至週日07:15-21:00,07:15,21:00
台中大墩門市,04-2326-2617,"24.154672652790566,120.64987623970003",台中市南屯區大墩路806號,6:30-18:30<BR>假日7:30-18:30,6:30,18:30
大甲鎮瀾門市,04-2676-1846,"24.345854333825823,120.62250756853906",台中市大甲區育德路21號,6:30-20:00,6:30,20:00
進化門市,04-2233-1068,"24.1595056,120.6920475",台中市北區進化路571-2號,週一至週日07:00-19:00,07:00,19:00
台中文心一門市,04-2320-0052,"24.1494498,120.6447277",台中市南屯區文心路一段376號,週一至週日07:30-19:30,07:30,19:30
台中精密園區門市,04-2359-9671,"24.1486964,120.605798",台中市南屯區精科路112號,週一至週日07:00-19:00,07:00,19:00
興大門市,04-2285-6137,"24.1236846,120.6770662",台中市南區興大路145號1樓(中興大學學生餐廳),週一至週日07:00-19:00,07:00,19:00
精誠門市,04-2327-1585,"24.1564957,120.6546754",台中市西區精誠路7-2號,週一至週日7:30-18:00,7:30,18:00
大墩向心門市,04-2472-6613,"24.1440613,120.6497141",台中市南屯區大墩路301號,週一至週日07:00-21:00,07:00,21:00
十甲東門市,04-2215-2666,"24.1407653,120.7061075",台中市東區十甲東路566號,週一至週日07:00-21:00,07:00,21:00
漢口門市,04-2312-9987,"24.1649949,120.6615372",台中市西屯區漢口路二段110-7號,週一至週日06:30-19:00,06:30,19:00
大里永隆門市,04-2407-8212,"24.104929,120.6773786",台中市大里區永隆路35號,週一至週日07:00-21:00,07:00,21:00
文心森林公園門市,04-2382-4613,"24.1463749,120.6412353",台中市南屯區惠文路525號、527號,週一至週日07:30-17:00,07:30,17:00
台中大雅門市,04-2566-1088,"24.228565743840974,120.64732853985643",台中市大雅區學府路459號,週一至週五6:30-16:00周末7:00-16:00,6:30,16:00
一中門市,04-2223-1613,"24.1486677,120.6845932",台中市北區雙十路一段125號,週一至週日07:00-17:00,07:00,17:00
景賢門市,04-2436-2205,"24.1671225,120.7219172",台中市北屯區景賢路232號,週一至週日07:00-21:00,07:00,21:00
豐原三民門市,04-2512-1700,"24.2535127,120.715759",台中市豐原區三民路192號,週一至週日07:00-22:00,07:00,22:00
中科直營門市,04-2462-4613,"24.186483,120.612576",台中市西屯區福科路579號,週一至週日07:00-21:00,07:00,21:00
太平育賢門市,04-2392-5680,"24.1587838,120.7143955",台中市太平區育賢路265號,週一至週日07:00-19:00,07:00,19:00
進化北門市,04-2236-4980,"24.1633131,120.6781822",台中市北區進化北路378之39號,週一至週日07:00-19:00,07:00,19:00
台中博館門市,04-2321-0818,"24.1539577,120.6649895",台中市北區博館二街62號,週一至週日07:00-20:00,07:00,20:00
台中德富門市,04-2265-0311,"24.1208373,120.6509206",台中市南區德富路30號,週一至週日07:00-21:00,07:00,21:00
台中梧棲門市,04-2658-3297,"24.2574433,120.531821",台中市梧棲區文化路二段280號,週一至週日07:30-21:00,07:30,21:00
葳格軍福門市,04-2436-0348,"24.1780998,120.7114034",台中市北屯區松竹五路二段228號,週一至週日07:00-17:00,07:00,17:00
后里美光門市,04-2558-2613,"24.3181102,120.7219029",台中市后里區三豐路四段369號5,週一至週五07:30-18:00,07:30,18:00
北勢東門市,04-2632-1333,"24.2183781,120.5771322",台中市沙鹿區北勢東路333號,週一至週日07:00-21:00,07:00,21:00
東興門市,04-2471-2383,"24.1451398,120.6506944",台中市西區向上南路一段168號,週一至週日07:00-20:00,07:00,20:00
健行門市,04-2238-3588,"24.159049,120.6801209",台中市北區健行路391號,週一至週日06:30-23:00,06:30,23:00
豐原圓環門市,04-2527-6566,"24.2587157,120.7182961",台中市豐原區圓環北路一段338號1、2樓,週一至週日07:00-21:00,07:00,21:00
第三波咖啡崇德直營門市,04-2422-4613,"24.1870854,120.683841",台中市北屯區崇德路三段181號,週一至週日07:30-22:00,07:30,22:00
五權美村門市,04-2378-5559,"24.1353091,120.6596278",台中市西區美村路一段689號,週一至週日07:00-22:00,07:00,22:00
美村直營門市,04-2322-1613,"24.1526472,120.6596917",台中市西區美村路一段103號,週一至週日07:00-20:00,07:00,20:00
台中科大門市,04-2208-0508,"24.152016,120.6803883",台中市北區中華路二段120之3號1樓、2樓,週一至週日07:00-22:00,07:00,22:00
大里國光門市,04-2407-1177,"24.10284003353158,120.68146716830027",台中市大里區國光路二段147號1+2樓、149號1樓,週一至週日07:00-21:30,07:00,21:30
台中高鐵門市,04-3600-0613,"24.111714977171697,120.61570536800122",台中市烏日區站區二路8號,週一至週四06:00-21:00<br>      週五至週日06:00-22:00,06:00,21:00
亞大醫院門市,04-2331-0622,"24.053617385845193,120.68603113305905",台中市霧峰區南柳里福新路222號B1,週一至週五07:30-19:30、週六07:30-13:30,07:30,19:30
鼎盛大樓門市,,"24.16350518973328,120.6376643846592",台中市西屯區市政北二路236號三樓之1(櫃位307),(即將為您服務)週一至週五07:00-21:00,07:00,21:00
東山和順門市,04-2437-3689,"24.17604386611964,120.72251707530955",台中市北屯區東山路一段318-1號,週一至週日07:00-21:00,07:00,21:00
台中民權門市,04-2222-5790,"24.137294689003014,120.68098343297949",台中市中區民權路60號,週一至週日07:00-21:00,07:00,21:00
漢口崇德門市,04-2234-1613,"24.166894478649073,120.68377930429813",台中市北區漢口路四段316號,07:00-21:00,07:00,21:00
台中漢翔門市,04-2706-6613,"24.184009,120.644768",台中市西屯區福星北路50號1樓,07:00-20:00,07:00,20:00
霧峰樹仁門市,04-2332-8886,"24.063637,120.6947241",台中市霧峰區樹仁路52號,週一至週日07:00-21:00,07:00,21:00
榮德山西門市,04-23696263,"24.1823089,120.6788319",台中市北屯區榮德路263號,週一至週日7:00-21:00,7:00,21:00
潭子勝利門市,04-2535-8613,"24.2118988,120.7006419",台中市潭子區勝利路246號1.2樓,週一至週日06:30-20:00,06:30,20:00
沙鹿靜宜門市,04-2631-1232,"24.2258547,120.5713989",台中市沙鹿區英才路102號,週一至週日07:00-17:00,07:00,17:00
太平中山門市,04-2395-6956,"24.1498742,120.7120623",台中市太平區中山路四段31號,週一至週日07:00-22:00,07:00,22:00
中教大門市,04-2224-5058,"24.1318204,120.6670747",台中市西區五權路61號及61-1號,寒暑假每日07:00-18:00<br>開學每日07:00-21:00,07:00,18:00
東海東園門市,04-2652-5557,"24.1818522,120.5921128",台中市龍井區台灣大道五段3巷62弄16號,週一至週日07:00-21:00,07:00,21:00
台中中清門市,04-2293-0613,"24.1688782,120.6728158",台中市北區中清路一段712號,週一至週日07:00-21:00,07:00,21:00
東海大學門市,04-2463-8585,"24.1783357,120.6498026",台中市西屯區台灣大道四段1727號(東海大學第二校區商學大樓M161室),週一至週五07:30-20:30<br>週六至週日8:30-17:00,07:30,20:30
台南湖美門市,06-358-2300,"23.002992968706238,120.18715010319076",台南市中西區中華西路二段588號1樓,7:00-18:00,7:00,18:00
台南新光門市,06-511-5237,"22.98723028333896,120.20025672863696",台南市中西區永福路一段78號,週一至週日07:00-18:00,07:00,18:00
台南永康門市,06-312-1793,"23.008310171972695,120.2319167111869",台南市永康區中華二路365號,週一至週日07:00-19:00,07:00,19:00
台南中華門市,06-302-6688,"23.017814734245704,120.22783699752935",台南市永康區中華路786號,週一至週日7:30-19:00,7:30,19:00
台南新市門市,06-5895-959,"23.0707891848607,120.29229416847163",台南市新市區新和里中正路26號,週一至週日7:00-17:00,7:00,17:00
台南文平門市,06-293-0088,"22.9922836,120.1787529",台南市安平區文平路400號,週一至週日07:00-21:00,07:00,21:00
崇善門市,06-260-8855,"22.9803798,120.2233034",台南市東區崇善路172號,週一至週日6:30-20:00,6:30,20:00
小北門市,06-2525-951,"23.00929010962676,120.20620846847062",台南市北區立賢路一段39號,週一至週日07:00-18:00,07:00,18:00
東安門市,06-236-8613,"22.9932979,120.2267221",台南市東區東安路100號,週一至週日07:00-21:00,07:00,21:00
台南長榮門市,06-276-0288,"22.9901069,120.2185252",台南市東區長榮路二段178號,週一至週日07:00-21:00,07:00,21:00
台南善化門市,06-581-1039,"23.1271879,120.2940483",台南市善化區文昌里中正路365號,7:00-17:30,7:00,17:30
台南郡平門市,06-299-9056,"22.9888469,120.1675245",台南市安平區郡平路131號,週一至週日07:00-20:00,07:00,20:00
台南東門門市,06-267-1461,"22.9780108,120.2334355",台南市東區東門路三段180、182號,週一至週五07:00-19:00<br>               週六、週日08:00-20:00,07:00,19:00
成大勝利門市,06-236-1613,"22.9948316,120.2179287",台南市東區勝利路125號,週一至週日07:00-19:00,07:00,19:00
台南文元門市,06-252-5222,"23.0158543,120.2005222",台南市北區海安路三段800號,週一至週日07:00-20:00,07:00,20:00
台南北安門市,06-246-9613,"23.0320782,120.2024643",台南市安南區北安路二段262號,週一至週五07:00-20:00<br>週六、週日07:00-20:30<br>親子室開放時間(尚未開放),07:00,20:00
台南大同門市,06-216-0098,"22.9826834,120.2089257",台南市中西區大同路一段214號1樓,週一至週日07:00-21:00,07:00,21:00
台南復國門市,06-201-1859,"23.011333822516818,120.24607826866935",台南市永康區復國一路339-1號,週一至週日07:00-19:00,07:00,19:00
台南麻豆門市,06-571-6638,"23.18353,120.2429017",台南市麻豆區中山路129號,週一至週日07:00-22:00,07:00,22:00
台南華平門市,06-299-2698,"22.989982,120.1726285",台南市安平區華平路269號,週一至週日07:30-20:00,07:30,20:00
台南奇美門市,06-283-0613,"23.0213258,120.21918",台南市永康區中華路903號,週一至週日07:00-21:00,07:00,21:00
台南佳里門市,06-723-7179,"23.1629296,120.1746527",台南市佳里區中山路392號,週一至週日07:00-20:00,07:00,20:00
台南崑山門市,06-205-8060,"22.9992598,120.2512914",台南市永康區大灣路1006號,週一至週五07:00-18:00週六日及國定假日07:00-17:00,07:00,18:00
台南台積電P5廠門市,06-505-3613,"23.1151238,120.2682787",台南市善化區南科九路17號(台積電P5廠),週一至週五07:30-20:00,07:30,20:00
新營門市,06-633-0613,"23.3065053,120.3082005",台南市新營區三民路152-1號,週一至週日07:00-22:00,07:00,22:00
水萍塭門市,06-223-6333,"22.989369169886064,120.19531460429873",台南市中西區海安路一段96號,週一至週日07:00-21:00,07:00,21:00
台積電P7門市,06-505-0589,"23.1083622,120.2677489",台南市善化區三抱竹路1號,週一至週五07:30-19:00,07:30,19:00
敦南門市,02-2755-0101,"25.03064367783698,121.55037986866756",台北市大安區敦化南路二段81巷45弄21號,週一至週五7:30-17:00<br>週六、週日公休,7:30,17:00
華山門市,02-2321-5938,"25.0436986,121.5225806",台北市中正區紹興南街4-1號,周一至周五7:30-18:00<br>周六8:30-15:00<br>周日國定假日公休,7:30,18:00
逸仙門市,02-8780-4613,"25.040494,121.5621418",台北市信義區逸仙路50巷6號,週一至週末7:30-16:00,7:30,16:00
寶慶門市,02-2370-8538,"25.042409872089195,121.5100019971534",台北市中正區衡陽路114號,週一至週五07:00-20:00<br>               例假日08:00-20:00,07:00,20:00
延平門市,02-2361-0718,"25.034721880797406,121.50750267027153",台北市中正區延平南路214號,週一至週五7:00-18:00<br>周末公休,7:00,18:00
杭州門市,02-2327-8819,"25.03610222421384,121.52461581285469",台北市中正區杭州南路一段153號,週一至週日07:00-17:00,07:00,17:00
重慶南門市,02-2311-4088,"25.043941,121.513411",台北市中正區重慶南路一段77-2號,7:30-18:00,7:30,18:00
信義新生門市,02-2343-5831,"25.0368971,121.5324936",台北市中正區新生南路一段130號,7:30-19:00<BR>例假日8:00-20:00,7:30,19:00
酒泉門市,02-2585-2121,"25.0721114,121.5142751",台北市大同區酒泉街139號,週一至週日08:00-18:00,08:00,18:00
民權門市,02-2517-7759,"25.0617122,121.5347548",台北市中山區松江路313巷22號之2,周一至周五7:00-16:00<br>周六至周日及國定假日8:00-13:00<br>不定期公休,7:00,16:00
南西門市,02-2531-7138,"25.051634013973135,121.52207695518369",台北市中山區中山北路一段140巷138號(後棟),週一至週日8:00-18:00,8:00,18:00
晴光門市,02-2599-3207,"25.06549246361323,121.52436409751276",台北市中山區雙城街17-6號,週一至週五07:00-19:00<br>週六至週日08:00-19:00,07:00,19:00
大直門市,02-8509-8222,"25.082998,121.5466682",台北市中山區北安路621巷49號,週一至週五7:30-21:00<br>周末/例假日/寒暑假7:30-17:00,7:30,21:00
伊通門市,02-2515-6765,"25.0528746,121.5349538",台北市中山區伊通街85號,週一至週五08:00-18:30<br>               週末公休,08:00,18:30
樂群直營門市,02-8502-9991,"25.079903668511083,121.55710228368986",台北市中山區樂群二路150號,週一至週日07:00-18:00,07:00,18:00
民生松江門市,02-2541-9655,"25.0578088,121.5324104",台北市中山區民生東路二段150號,週一至週五07:00-21:00<br>               週六、週日08:00-20:00,07:00,21:00
三民門市,02-2766-1312,"25.0516257,121.5626467",台北市松山區南京東路五段163-13號,週一至週五7:30-16:00<br>週六、週日公休,7:30,16:00
敦北門市,02-2719-0500,"25.061315847399435,121.54769578389477",台北市松山區敦化北路244巷35號,週一至週日08:00-16:00,08:00,16:00
慶城門市,02-2545-2555,"25.053298052811616,121.5452123397151",台北市松山區慶城街16巷10號,週一至週五07:00-21:00<br>               週六、週日08:00-21:00,07:00,21:00
民生圓環門市,02-2761-6620,"25.0597192,121.5657668",台北市松山區新東街33號,週一到週日07:00-20:00,07:00,20:00
民生光復門市,02-2765-4166,"25.058699277631906,121.55556032622277",台北市松山區民生東路五段3號,週一至週五7:30-17:30<br>周末8:00-17:00,7:30,17:30
麥帥門市,02-2765-8808,"25.0508772,121.5671283",台北市松山區南京東路五段250巷2弄19號,7:30-17:00,7:30,17:00
古亭門市,02-2362-6229,"25.026703543584823,121.52179011273006",台北市大安區羅斯福路二段83-1號1樓,7:30-20:00,7:30,20:00
城中門市,02-2361-6909,"25.04638576307774,121.51085262622274",台北市中正區延平南路13號B,週一至週五07:00-17:30<br>               例假日09:30-17:30,07:00,17:30
忠孝門市,02-2711-7627,"25.042834707832146,121.53979348204321",台北市大安區忠孝東路三段217巷4弄2號,8:00-17:00<BR>周六8:00-16:00<BR>周日及國定假日休,8:00,17:00
市民門市,02-8773-6443,"25.0435203,121.5574173",台北市大安區光復南路102號1樓,週一至週末7:30-17:00,7:30,17:00
建國門市,02-2704-2955,"25.02673818657602,121.53944725320696",台北市大安區瑞安街151號,7:00-19:00<BR>週六至週日8:00-17:00,7:00,19:00
國泰門市,02-2325-0707,"25.03695097744007,121.55451681087892",台北市大安區仁愛路四段300巷13-2號,週一至週日07:30-18:00,07:30,18:00
大安門市,02-2707-9005,"25.033385887810947,121.5445619262225",台北市大安區信義路四段28號,週一至週五7:00-16:30<br>週六7:30-15:30<br>週日7:30-14:00,7:00,16:30
六張犁門市,02-2739-0241,"25.024367913554425,121.55186926855045",台北市大安區基隆路二段190-1號,週一至週日07:00-19:00,07:00,19:00
仁愛敦化門市,02-2325-0552,"25.037176697798483,121.55011928204297",台北市大安區仁愛路四段122巷4號,週一至週日7:00-17:00,7:00,17:00
和平新生門市,02-2362-0860,"25.0260869,121.532252",台北市大安區和平東路一段228號,週一至週日7:00-17:00,7:00,17:00
萬華西藏門市,02-2303-2525,"25.02932973817437,121.50235456855061",台北市萬華區西藏路125巷5號,週二至週日8:00-18:00<br>周一公休,8:00,18:00
萬華龍山門市,02-2308-2255,"25.035762187370196,121.49899331273018",台北市萬華區和平西路三段143號,7:30-19:00,7:30,19:00
永春概念門市,02-2766-6672,"25.044074267476297,121.57532426855084",台北市信義區永吉路326巷50號,週一至週五07:00-18:00<br>               週六、週日及國定假日08:00-18:00,07:00,18:00
信義永春門市,02-2726-2700,"25.037598000467252,121.57816845505845",台北市信義區松山路562號,週一至週五7:00-17:00週六日08:00~17:00,7:00,17:00
明德直營門市,02-2825-0613,"25.11018667133526,121.51994673971598",台北市北投區明德路119號,週一至週五07:00-21:00<br>               週六、週日07:30-21:00,07:00,21:00
內湖三民門市,02-2793-6263,"25.068594,121.5852389",台北市內湖區民權東路六段72號,7:30-18:00,7:30,18:00
內湖文湖門市,02-2659-8613,"25.08699448573911,121.56161409738753",台北市內湖區文湖街37號,週一至週日07:00-21:00,07:00,21:00
內湖成功直營門市,02-8792-8631,"25.082517791650005,121.5929153838951",台北市內湖區成功路四段75號,週一至週五07:00-22:00<br>               週六、週日07:30-22:00,07:00,22:00
民權成功門市,02-2793-3136,"25.0691104,121.5922007",台北市內湖區民權東路六段117-1號,周一至週五7:00-18:00<br>周末7:30-18:00,7:00,18:00
東湖門市,02-2633-0225,"25.069294,121.613415",台北市內湖區東湖路33巷8號1樓,週一至週日09:00-19:00,09:00,19:00
內湖行善門市,02-8792-9998,"25.0570143,121.576212",台北市內湖區行善路62號,7:00-17:00,7:00,17:00
內湖285門市,02-2799-7335,"25.083503809419412,121.56696713971553",台北市內湖區內湖路一段285巷27弄1號,週一至週五07:00-17:00<br>               週六、週日及國定假日08:00-17:00,07:00,17:00
內湖堤頂門市,02-2656-1828,"25.0786955,121.567116",台北市內湖區堤頂大道二段239號,週一至週日7:30-17:00,7:30,17:00
南港門市,02-2655-1828,"25.0568101,121.6134504",台北市南港區三重路19-4號1樓(南軟園區一期商店街),週一至週五7:30-16:30<br>               週末公休,7:30,16:30
後山埤門市,02-2785-5032,"25.0436043,121.5827594",台北市南港區南港區中坡南路13號,平日07:30-21:00<br>               假日07:30-20:00,07:30,21:00
松山站前門市,02-2788-9298,"25.0505038,121.5804575",台北市南港區八德路四段786號,週一至週五8:00-18:00<br>周六9:00-17:00<br>周日公休,8:00,18:00
景美門市,02-2934-2580,"24.99325593990642,121.5419287685499",台北市文山區景中街13號,週一至週日07:00-15:00,07:00,15:00
萬芳醫院門市,02-2239-3838,"24.99919978167112,121.55820115505786",台北市文山區興隆路三段119號,週一、週四及週日07:00-21:00<br>               週五至週六07:00-21:30,07:00,21:00
木新門市,02-2938-8115,"24.9815344,121.5605018",台北市文山區木新路三段177號,7:00-18:00        ,7:00,18:00
政大門市,02-2234-3880,"24.979785914907684,121.58674285505735",台北市文山區萬壽路3號1樓,週一至週五7:30-20:00<br>週六、日8:00-17:00,7:30,20:00
劍潭承德門市,02-2885-3335,"25.081325803723104,121.52301452023201",台北市士林區承德路四段53號,週一至週日7:00-21:00,7:00,21:00
信義松仁門市,02-2758-3848,"25.024704127248647,121.5693028819965",台北市信義區松仁路242號,週一至週日07:00-17:00,07:00,17:00
